book,chapters,verses,sentences,words,letters,pages
Genesis,50,1533,1716,38290,151857,50
Exodus,40,1213,1288,32695,131775,43
Leviticus,27,859,872,24546,98922,33
Numbers,36,1288,1349,32928,137901,45
Deuteronomy,34,959,999,28387,114018,37
Joshua,24,658,699,18862,78372,26
Judges,21,618,753,18985,76851,25
Ruth,4,85,114,2577,10000,4
1 Samuel,31,810,1065,25066,100211,33
2 Samuel,24,695,915,20620,82497,27
1 Kings,22,816,951,24538,98713,32
2 Kings,25,719,943,23538,93631,31
1 Chronicles,29,942,1054,20383,86625,29
2 Chronicles,36,822,934,26093,109303,35
Ezra,10,280,294,7445,31705,11
Nehemiah,13,406,466,10489,44705,14
Esther,10,167,205,5645,23748,8
Job,42,1070,1230,18149,73266,24
Psalms,150,2461,2664,42727,173959,58
Proverbs,31,915,946,15046,62676,21
Ecclesiastes,12,222,242,5588,21972,7
Song of Solomon,8,117,134,2666,10548,4
Isaiah,66,1292,1474,37086,150992,50
Jeremiah,52,1364,1564,42720,174386,57
Lamentations,5,154,166,3421,14173,4
Ezekiel,48,1273,1364,39423,160049,53
Daniel,12,357,384,11605,48438,16
Hosea,14,197,215,5178,21122,7
Joel,3,73,78,2035,8359,2
Amos,9,146,173,4220,16989,6
Obadiah,1,21,25,674,2823,1
Jonah,4,48,62,1321,5087,1
Micah,7,105,124,3155,12719,5
Nahum,3,47,56,1286,5423,1
Habakkuk,3,56,71,1484,6217,2
Zephaniah,3,53,55,1620,6643,3
Haggai,2,38,46,1130,4400,1
Zechariah,14,211,239,6445,25549,8
Malachi,4,55,87,1782,7125,3
Matthew,28,1071,1221,23717,96656,32
Mark,16,678,777,15192,61338,20
Luke,24,1151,1310,25999,104336,35
John,21,879,1034,19146,75533,25
Acts,28,1007,1099,24277,101726,33
Romans,16,433,536,9454,39320,13
1 Corinthians,16,437,528,9474,37943,13
2 Corinthians,13,257,287,6089,24982,8
Galatians,6,149,162,3092,12652,4
Ephesians,6,155,158,3030,12832,5
Philippians,4,104,111,2185,9031,3
Colossians,4,95,100,1983,8422,2
1 Thessalonians,5,89,92,1837,7543,3
2 Thessalonians,3,47,49,1024,4277,1
1 Timothy,6,113,119,2251,10068,3
2 Timothy,4,83,89,1667,7246,3
Titus,3,46,52,898,4067,1
Philemon,1,25,26,430,1817,1
Hebrews,13,303,319,6915,29336,9
James,5,108,134,2307,9433,3
1 Peter,5,105,116,2478,10589,4
2 Peter,3,61,66,1557,6940,2
1 John,5,105,126,2519,9848,3
2 John,1,13,17,298,1204,1
3 John,1,14,18,294,1250,0
Jude,1,25,27,609,2812,1
Revelation,22,404,460,12003,48251,16
